1	10	0	1	1
2	2	1	1	1
3	4	0	0	2
4	0	0	1	1
5	0	0	0	0
6	9	0	0	0
7	10	1	1	0
8	5	1	1	1
9	8	0	1	2
10	9	1	0	2
11	2	1	1	0
12	4	0	0	2
13	11	0	1	1
14	3	1	1	2
15	6	0	1	0
16	8	1	0	0
17	6	1	0	2
18	0	1	0	0
19	11	0	0	0
20	4	1	1	2
21	10	0	1	1
22	4	1	1	1
23	0	0	1	1
24	5	0	0	0
25	5	0	1	2
26	8	0	1	2
27	3	1	0	2
28	3	0	1	0
29	8	0	1	0
30	0	1	0	2
31	8	0	0	0
32	5	1	0	2
33	5	0	1	2
34	10	0	1	2
35	9	1	1	1
36	6	1	1	0
37	10	1	0	0
38	7	1	1	1
39	7	1	0	1
40	9	1	0	1
41	3	1	1	0
42	1	0	1	0
43	7	0	0	1
44	3	1	0	1
45	6	0	1	0
46	7	1	0	0
47	7	1	0	1
48	1	1	0	1
49	6	0	0	1
50	11	1	0	0
51	9	1	1	2
52	2	1	1	0
53	2	0	0	2
54	2	0	0	2
55	11	0	0	2
56	11	1	1	2
57	1	1	1	2
58	1	0	0	1
59	1	0	0	1
59	1	0	0	1
