1	5	0	0	1
2	5	0	0	2
3	11	0	0	2
4	8	0	0	2
5	9	0	0	2
6	2	0	0	0
7	8	0	0	2
8	3	0	0	2
9	2	0	0	0
10	4	0	0	2
11	1	0	0	1
12	7	0	0	1
13	6	0	0	1
14	2	0	0	0
15	3	0	0	2
16	7	0	0	0
17	3	0	0	1
18	0	0	0	0
19	0	0	0	0
20	1	0	0	0
21	9	0	0	1
22	5	0	0	0
23	4	0	0	2
24	6	0	0	1
25	1	0	0	0
26	11	0	0	1
27	7	0	0	2
28	9	0	0	1
29	8	0	0	0
30	2	0	0	2
31	5	0	0	2
32	3	0	0	2
33	10	0	0	0
34	4	0	0	1
35	5	0	0	1
36	1	0	0	2
37	7	0	0	1
38	2	0	0	1
39	7	0	0	2
40	4	0	0	1
41	4	0	0	1
42	10	0	0	1
43	3	0	0	1
44	11	0	0	0
45	11	0	0	2
46	6	0	0	2
47	0	0	0	0
48	11	0	0	0
49	0	0	0	2
50	9	0	0	0
51	0	0	0	0
52	1	0	0	0
53	6	0	0	1
54	10	0	0	0
55	10	0	0	1
56	8	0	0	1
57	6	0	0	2
58	9	0	0	0
59	8	0	0	0
59	8	0	0	0
